;Comptage horaire;mois;jour;jour_sem;heure;Saisons;Lat;Lon;code_postal;degrés;pluie%;vent_kmh;coco
0;0.0;1;1;5;0;0;48.83504;2.33314;75014;10.8;93.0;5.4;1
1;5.0;1;1;5;7;0;48.83504;2.33314;75014;8.6;97.0;5.4;1
2;14.0;1;1;5;20;0;48.83504;2.33314;75014;10.1;87.0;5.4;0
3;1.0;1;2;6;0;0;48.83504;2.33314;75014;9.7;83.0;7.6;1
4;2.0;1;2;6;1;0;48.83504;2.33314;75014;9.8;83.0;7.6;1
5;5.0;1;2;6;7;0;48.83504;2.33314;75014;10.9;76.0;7.6;1
6;6.0;1;2;6;8;0;48.83504;2.33314;75014;11.3;76.0;5.4;1
7;19.0;1;2;6;9;0;48.83504;2.33314;75014;11.2;81.0;5.4;1
8;52.0;1;2;6;14;0;48.83504;2.33314;75014;14.0;77.0;18.4;1
9;63.0;1;2;6;16;0;48.83504;2.33314;75014;13.9;76.0;24.1;1
10;24.0;1;2;6;18;0;48.83504;2.33314;75014;13.5;76.0;18.4;1
11;11.0;1;2;6;21;0;48.83504;2.33314;75014;12.9;74.0;20.5;1
12;13.0;1;1;5;1;0;48.83504;2.33314;75014;10.7;95.0;5.4;1
13;5.0;1;2;6;23;0;48.83504;2.33314;75014;12.2;76.0;14.8;1
14;13.0;1;1;5;3;0;48.83504;2.33314;75014;10.1;95.0;7.6;1
15;1.0;1;3;0;1;0;48.83504;2.33314;75014;11.5;79.0;11.2;1
16;6.0;1;1;5;5;0;48.83504;2.33314;75014;9.4;96.0;9.4;1
17;0.0;1;3;0;2;0;48.83504;2.33314;75014;11.3;80.0;11.2;1
18;7.0;1;1;5;6;0;48.83504;2.33314;75014;8.8;97.0;7.6;1
19;1.0;1;3;0;4;0;48.83504;2.33314;75014;10.9;84.0;9.4;1
20;9.0;1;1;5;9;0;48.83504;2.33314;75014;8.2;98.0;7.6;1
21;65.0;1;3;0;11;0;48.83504;2.33314;75014;11.9;81.0;20.5;2
22;59.0;1;1;5;14;0;48.83504;2.33314;75014;13.4;71.0;11.2;0
